index,title,link,Type,Contract,Floor,Lift,Surface,Rooms,Bed,Bath,Furnished,Terrace,Garage,price
91,"1-bedroom flat second floor, Mondorf-les-Bains Localité, Mondorf-les-Bains",https://www.immotop.lu/en/annonces/1695431/,Apartment,Rent,2,Yes,58 m²,1,1,1,0,No,0,"€ 1,500/month"
92,"1-bedroom flat second floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1685453/,Apartment,Rent,2,No,65 m²,1,1,1,0,0,0,"€ 2,500/month"
93,"Studio for rent, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1690351/,Studio,Rent,2,No,28 m²,0,0,1,0,No,0,"€ 1,550/month"
94,"Single-family detached house 230 m², Lamadelaine, Pétange",https://www.immotop.lu/en/annonces/1696229/,Single-family detached house,Rent,Ground floor,No,230 m²,4,4,2,0,Yes,0,"€ 2,400/month"
95,"3-room flat first floor, Pétange Localité, Pétange",https://www.immotop.lu/en/annonces/1700429/,Apartment,Rent,1,Yes,105 m²,3,3,0,0,No,"1 in garage/box, 1 in shared parking","€ 1,900/month"
96,"2-room flat third floor, Rodange, Pétange",https://www.immotop.lu/en/annonces/1678075/,Apartment,Rent,3,No,100 m²,2,2,1,0,0,0,"€ 1,700/month"
97,"Studio 21, Rue Leonardo Da Vinci, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1652627/,Studio,Rent,3,Yes,34 m²,0,0,1,Yes,No,1 in shared parking,"€ 1,600/month
€ 1,700(-5.9%)"
98,"2-room flat 3, Rue Belle-Vue, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1650733/,Apartment,Rent,5,Yes,89 m²,2,2,1,0,No,0,"€ 2,400/month"
99,"Single-family detached house 221 m², Junglinster Localité, Junglinster",https://www.immotop.lu/en/annonces/1686967/,Single-family detached house,Rent,Ground floor,No,221 m²,5,5,2,0,Yes,0,"€ 4,000/month"
100,"1-bedroom flat excellent condition, second floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1687875/,Apartment,Rent,2,Yes,34 m²,1,1,1,Yes,0,0,"€ 2,000/month"
101,"1-bedroom flat excellent condition, second floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1687879/,Apartment,Rent,2,Yes,35 m²,1,1,1,Yes,0,0,"€ 1,995/month"
102,"Single-family detached house Rue Herbert Schaefer, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1698147/,Single-family detached house,Rent,Ground floor,No,160 m²,4,4,2,0,0,0,"€ 3,600/month"
103,"2-room flat Rue du Commerce, Dudelange",https://www.immotop.lu/en/annonces/1700093/,Apartment,Rent,2,Yes,98 m²,2,2,1,0,No,0,"€ 2,100/month"
104,"1-bedroom flat first floor, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1590397/,Apartment,Rent,1,No,32 m²,1,1,1,0,No,0,"€ 1,650/month"
105,"Multi-family detached house rue de la Malterie, Clausen, Luxembourg",https://www.immotop.lu/en/annonces/1699907/,Multi-family detached house,Rent,Ground floor,No,180 m²,4,4,3,0,0,0,"€ 3,950/month"
106,"2-room flat Antoine-François van der Meulen, Dommeldange, Luxembourg",https://www.immotop.lu/en/annonces/1679467/,Apartment,Rent,1,Yes,85 m²,2,2,1,0,0,0,"€ 2,800/month"
107,"1-bedroom flat Route d'Arlon, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1678415/,Apartment,Rent,2,Yes,58 m²,1,1,1,0,0,0,"€ 1,950/month"
108,"2-room flat rue Charlemagne, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1495305/,Apartment,Rent,1,No,81 m²,2,2,1,0,0,0,"€ 2,600/month"
109,"1-bedroom flat second floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1698017/,Apartment,Rent,2,No,95 m²,1,1,1,0,0,0,"€ 2,200/month"
110,"Single-family detached house 250 m², Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1604809/,Single-family detached house,Rent,Ground floor,No,250 m²,3,3,2,0,No,0,"€ 6,500/month"
111,"Single-family detached house 320 m², Strassen",https://www.immotop.lu/en/annonces/1675393/,Single-family detached house,Rent,Ground floor,No,320 m²,5+,6,3,0,No,1 in garage/box,"€ 4,400/month
€ 4,800(-8.3%)"
112,"Single-family detached house 220 m², Senningen, Senningerberg, Niederanven",https://www.immotop.lu/en/annonces/1615365/,Single-family detached house,Rent,Ground floor,No,220 m²,4,4,2,0,Yes,4 in shared parking,"€ 3,800/month"
113,"2-room flat second floor, Belvaux, Sanem",https://www.immotop.lu/en/annonces/1675377/,Apartment,Rent,2,Yes,75 m²,2,2,1,0,No,0,"€ 2,000/month
€ 2,200(-9.1%)"
114,"Single-family detached house 780 m², Mamer Localité, Mamer",https://www.immotop.lu/en/annonces/1438717/,Single-family detached house,Rent,Ground floor,No,780 m²,4,4,3,0,Yes,0,"€ 7,000/month
€ 8,000(-12.5%)"
115,"Loft, excellent condition, third floor, Bonnevoie-Verlorenkost, Luxembourg",https://www.immotop.lu/en/annonces/1669803/,Loft,Rent,3,No,60 m²,1,1,1,Yes,0,0,"€ 1,900/month"
116,"Single-family detached house 164 m², Mondorf-les-Bains Localité, Mondorf-les-Bains",https://www.immotop.lu/en/annonces/1674097/,Single-family detached house,Rent,Ground floor,No,164 m²,3,3,2,0,No,1 in garage/box,"€ 2,500/month"
117,"2-room flat second floor, Fentange, Hesperange",https://www.immotop.lu/en/annonces/1680007/,Apartment,Rent,2,Yes,90 m²,2,2,1,0,No,0,"€ 2,000/month"
118,"Single-family detached house 200 m², Remerschen, Schengen",https://www.immotop.lu/en/annonces/1681583/,Single-family detached house,Rent,Ground floor,No,200 m²,5,5,2,0,Yes,0,"€ 2,860/month"
119,"Studio rue des Bains, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1605539/,Studio,Rent,2,Yes,38 m²,0,0,1,Yes,No,0,"€ 2,000/month"
120,"Apartment avenue de la faiencerie, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1696123/,Apartment,Rent,Ground floor,No,65 m²,0,0,0,0,No,0,"€ 1,850/month"
121,"Single-family detached house 13 rue Mathias Birton, Gasperich-Cloche d’or, Luxembourg",https://www.immotop.lu/en/annonces/1634673/,Single-family detached house,Rent,Ground floor,No,190 m²,4,4,2,0,Yes,0,"€ 3,800/month"
122,"1-bedroom flat first floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1652739/,Apartment,Rent,1,Yes,50 m²,1,1,1,0,Yes,0,"€ 2,000/month"
123,"Apartment excellent condition, third floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1696711/,Apartment,Rent,3,Yes,48 m²,0,0,1,Yes,No,0,"€ 1,550/month"
124,"2-room flat Rue Alfred de Musset, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1683077/,Apartment,Rent,3,Yes,76 m²,2,2,2,Yes,0,0,"€ 3,350/month"
125,"2-room flat excellent condition, first floor, Belair, Luxembourg",https://www.immotop.lu/en/annonces/1671109/,Apartment,Rent,1,Yes,83 m²,2,2,1,0,0,0,"€ 2,600/month"
126,"1-bedroom flat excellent condition, first floor, Strassen",https://www.immotop.lu/en/annonces/1362465/,Apartment,Rent,1,Yes,60 m²,1,1,1,0,No,0,"€ 1,850/month"
127,"2-room flat 129 Rue De Strasbourg, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1684741/,Apartment,Rent,Ground floor,Yes,76 m²,2,2,1,Yes,0,0,"€ 2,400/month"
128,"1-bedroom flat first floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1691693/,Apartment,Rent,1,Yes,80 m²,1,1,1,0,0,0,"€ 2,350/month"
129,"2-room flat second floor, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1685355/,Apartment,Rent,2,No,135 m²,2,2,2,0,0,0,"€ 3,000/month"
130,"2-room flat new, ground floor, Hollerich, Luxembourg",https://www.immotop.lu/en/annonces/1668731/,Apartment,Rent,Ground floor,No,76 m²,2,2,1,0,No,0,"€ 2,400/month"
131,"3-room flat excellent condition, third floor, Gare, Luxembourg",https://www.immotop.lu/en/annonces/1617805/,Apartment,Rent,3,No,0,3,3,1,Yes,No,0,"€ 3,300/month"
132,"Studio for rent, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1641519/,Studio,Rent,2,No,30 m²,0,0,1,0,No,0,"€ 1,800/month"
133,"Studio for rent, Gare, Luxembourg",https://www.immotop.lu/en/annonces/255725/,Studio,Rent,3,Yes,27 m²,0,0,1,Yes,No,0,"€ 1,400/month"
134,"2-room flat 33, Bld Prince Henri, Ville Haute, Luxembourg",https://www.immotop.lu/en/annonces/1627973/,Apartment,Rent,3,Yes,91 m²,2,2,0,0,No,0,"€ 2,500/month"
135,"Studio for rent, Limpertsberg, Luxembourg",https://www.immotop.lu/en/annonces/1696791/,Studio,Rent,Ground floor,No,0,1,1,1,0,No,0,"€ 1,250/month"
